regional_geocode,pop,macroregion_name,pop_max,pop_norm
41020,425640,Sul,3656522,0.11640569918627593
41021,184596,Sul,3656522,0.05048403920446807
41022,137381,Sul,3656522,0.03757149553592184
42001,245820,Sul,3656522,0.06722781922274773
42002,418928,Sul,3656522,0.11457007506039893
42003,211140,Sul,3656522,0.05774339659381237
42004,315679,Sul,3656522,0.0863331329607753
42005,828110,Sul,3656522,0.2264747757568531
42006,833758,Sul,3656522,0.22801941298315723
42007,1393100,Sul,3656522,0.38099046033361755
42008,197459,Sul,3656522,0.054001862972518695
42009,294001,Sul,3656522,0.08040454836590619
42010,157978,Sul,3656522,0.043204444004439194
42011,801985,Sul,3656522,0.21933000813341202
42012,379809,Sul,3656522,0.10387165727431696
42013,303026,Sul,3656522,0.08287274081764037
42014,226587,Sul,3656522,0.06196790283225426
42015,458632,Sul,3656522,0.12542848094446032
42016,390653,Sul,3656522,0.10683731699139237
42017,340152,Sul,3656522,0.09302610513487954
43001,451823,Sul,3656522,0.12356632887755085
43002,121314,Sul,3656522,0.03317742926201456
43003,463267,Sul,3656522,0.12669607895152826
43004,174962,Sul,3656522,0.04784929504047836
43005,246318,Sul,3656522,0.06736401421897639
43006,222244,Sul,3656522,0.060780162132211976
43007,799599,Sul,3656522,0.2186774754807984
43008,777967,Sul,3656522,0.21276147114662514
43009,398088,Sul,3656522,0.10887066999733627
43010,2260190,Sul,3656522,0.618125639610537
43011,287099,Sul,3656522,0.07851696229367688
43012,128365,Sul,3656522,0.03510576443954118
43013,234210,Sul,3656522,0.06405267081669412
43014,236082,Sul,3656522,0.06456463273022835
43015,194216,Sul,3656522,0.05311495459346341
43016,239140,Sul,3656522,0.06540094658257219
43017,426542,Sul,3656522,0.11665238168948526
43018,134211,Sul,3656522,0.03670455148362296
43019,114396,Sul,3656522,0.03128546744693455
43020,163742,Sul,3656522,0.04478080536641103
43021,847411,Sul,3656522,0.23175328905446213
43022,188925,Sul,3656522,0.05166795112951597
43023,595508,Sul,3656522,0.16286186709665634
43024,100051,Sul,3656522,0.027362340497335994
43025,319475,Sul,3656522,0.08737127795210858
43026,187835,Sul,3656522,0.05136985364781068
43027,195552,Sul,3656522,0.05348032912149852
43028,349431,Sul,3656522,0.0955637625043689
43029,234311,Sul,3656522,0.06408029269343929
43030,128232,Sul,3656522,0.03506939107709457
50009,253405,Centro-Oeste,2952426,0.08582941621568162
50010,149224,Centro-Oeste,2952426,0.050542841717286055
50011,1067998,Centro-Oeste,2952426,0.3617357386772776
50012,438429,Centro-Oeste,2952426,0.14849787937106637
50013,203913,Centro-Oeste,2952426,0.06906625263427432
50014,164742,Centro-Oeste,2952426,0.05579885829483957
50015,119454,Centro-Oeste,2952426,0.040459608471135264
50016,117486,Centro-Oeste,2952426,0.03979303799654928
50017,339726,Centro-Oeste,2952426,0.11506672817540559
51001,113292,Centro-Oeste,2952426,0.03837251128394073
51002,1081537,Centro-Oeste,2952426,0.3663214590306412
51003,88753,Centro-Oeste,2952426,0.030061041326692014
51004,88248,Centro-Oeste,2952426,0.029889995549422746
51005,143497,Centro-Oeste,2952426,0.04860308099169971
51006,119676,Centro-Oeste,2952426,0.04053480087223185
51007,257397,Centro-Oeste,2952426,0.08718152461738245
51008,144385,Centro-Oeste,2952426,0.04890385059608607
51009,25952,Centro-Oeste,2952426,0.008790059429093227
51010,69631,Centro-Oeste,2952426,0.023584333697101976
51011,187477,Centro-Oeste,2952426,0.06349930531705113
51012,125899,Centro-Oeste,2952426,0.042642559034502474
51013,579679,Centro-Oeste,2952426,0.1963398913300452
51014,537864,Centro-Oeste,2952426,0.18217696226764024
51015,102881,Centro-Oeste,2952426,0.03484625863611823
51016,54799,Centro-Oeste,2952426,0.01856066841302712
52001,1939614,Centro-Oeste,2952426,0.6569560083809044
52002,972752,Centro-Oeste,2952426,0.32947548897076506
52003,281164,Centro-Oeste,2952426,0.09523151469334032
52004,980996,Centro-Oeste,2952426,0.3322677689466222
52005,331332,Centro-Oeste,2952426,0.11222364252313183
52006,42250,Centro-Oeste,2952426,0.014310265524013134
52007,96340,Centro-Oeste,2952426,0.03263079243984439
52008,134591,Centro-Oeste,2952426,0.045586578630590575
52009,118016,Centro-Oeste,2952426,0.03997255138655465
52010,119049,Centro-Oeste,2952426,0.040322433144810405
52011,549336,Centro-Oeste,2952426,0.18606258039998294
52012,206314,Centro-Oeste,2952426,0.0698794821614496
52013,170700,Centro-Oeste,2952426,0.0578168597621075
52014,123010,Centro-Oeste,2952426,0.041664041706718474
52015,446312,Centro-Oeste,2952426,0.15116788701901418
52016,240307,Centro-Oeste,2952426,0.08139306455098282
52017,265549,Centro-Oeste,2952426,0.08994264377837073
52018,183622,Centro-Oeste,2952426,0.062193599433144134
53001,2952426,Centro-Oeste,2952426,1.0
